namevalue,context_id,time_stamp,byhost,byv
"('data-emx', '7526883567168608467brt43531588341280935352ae~~1')",1,318,"{'.media', 'hbxlp.media', 'lg3.media', 'hbx.media', 'cvision.media', 'lgncal.media', 'contextual.media', 'hblg.media', 'coplg-w.media'}","{24, 25, 22, 23}"
"('data-emx', '7526883567168608467brt43531588341280935352ae~~1')",2,139,"{'hbxlp.media', 'hbx.media', 'lgncal.media', 'contextual.media', 'hblg.media', 'cslogger.media'}","{26, 27, 28, 29, 30}"
"('data-mf', '40b7cac0-8bde-436f-a3ef-4f701db35d64~~1')",1,393,"{'.media', 'hbxlp.media', 'lg3.media', 'hbx.media', 'lgncal.media', 'cvision.media', 'contextual.media', 'hblg.media', 'coplg-w.media'}","{21, 22, 23, 24, 25}"
"('data-mf', '40b7cac0-8bde-436f-a3ef-4f701db35d64~~1')",2,139,"{'hbxlp.media', 'hbx.media', 'lgncal.media', 'contextual.media', 'hblg.media', 'cslogger.media'}","{26, 27, 28, 29, 30}"
"('data-mm', '11c35eac-2a21-4b00-b00b-f8c935a11a0c~~1')",1,390,"{'.media', 'hbxlp.media', 'lg3.media', 'hbx.media', 'lgncal.media', 'cvision.media', 'contextual.media', 'hblg.media', 'coplg-w.media'}","{21, 22, 23, 24, 25}"
"('data-mm', '11c35eac-2a21-4b00-b00b-f8c935a11a0c~~1')",2,139,"{'hbxlp.media', 'hbx.media', 'lgncal.media', 'contextual.media', 'hblg.media', 'cslogger.media'}","{26, 27, 28, 29, 30}"
"('data-p', 'VnuyV3ZbfKyb~~1')",1,393,"{'.media', 'hbxlp.media', 'lg3.media', 'hbx.media', 'lgncal.media', 'cvision.media', 'contextual.media', 'hblg.media', 'coplg-w.media'}","{21, 22, 23, 24, 25}"
"('data-p', 'VnuyV3ZbfKyb~~1')",2,139,"{'hbxlp.media', 'hbx.media', 'lgncal.media', 'contextual.media', 'hblg.media', 'cslogger.media'}","{26, 27, 28, 29, 30}"
"('data-r', 'K9O9DHV1-I-7BR2~~1')",1,380,"{'.media', 'hbxlp.media', 'lg3.media', 'hbx.media', 'lgncal.media', 'cvision.media', 'contextual.media', 'hblg.media', 'coplg-w.media'}","{21, 22, 23, 24, 25}"
"('data-r', 'K9O9DHV1-I-7BR2~~1')",2,139,"{'hbxlp.media', 'hbx.media', 'lgncal.media', 'contextual.media', 'hblg.media', 'cslogger.media'}","{26, 27, 28, 29, 30}"
"('data-r1', 'RX-9bf7f180-bfe9-47dd-91bf-4549229bb17e-005~~1')",1,380,"{'.media', 'hbxlp.media', 'lg3.media', 'hbx.media', 'lgncal.media', 'cvision.media', 'contextual.media', 'hblg.media', 'coplg-w.media'}","{21, 22, 23, 24, 25}"
"('data-r1', 'RX-9bf7f180-bfe9-47dd-91bf-4549229bb17e-005~~1')",2,139,"{'hbxlp.media', 'hbx.media', 'lgncal.media', 'contextual.media', 'hblg.media', 'cslogger.media'}","{26, 27, 28, 29, 30}"
"('data-rbh', 'k2HBwFJ2GdEEOCvf0Y3I~~1')",1,270,"{'.media', 'hbxlp.media', 'lg3.media', 'hbx.media', 'cvision.media', 'lgncal.media', 'contextual.media', 'hblg.media', 'coplg-w.media'}","{24, 25, 22, 23}"
"('data-rbh', 'k2HBwFJ2GdEEOCvf0Y3I~~1')",2,139,"{'hbxlp.media', 'hbx.media', 'lgncal.media', 'contextual.media', 'hblg.media', 'cslogger.media'}","{26, 27, 28, 29, 30}"
"('data-rk', '979321814925778824~~1')",1,393,"{'.media', 'hbxlp.media', 'lg3.media', 'hbx.media', 'lgncal.media', 'cvision.media', 'contextual.media', 'hblg.media', 'coplg-w.media'}","{21, 22, 23, 24, 25}"
"('data-rk', '979321814925778824~~1')",2,139,"{'hbxlp.media', 'hbx.media', 'lgncal.media', 'contextual.media', 'hblg.media', 'cslogger.media'}","{26, 27, 28, 29, 30}"
"('data-sh', '4a8d1984-473d-491d-b2f7-7cb61836798d~~1')",1,393,"{'.media', 'hbxlp.media', 'lg3.media', 'hbx.media', 'lgncal.media', 'cvision.media', 'contextual.media', 'hblg.media', 'coplg-w.media'}","{21, 22, 23, 24, 25}"
"('data-sh', '4a8d1984-473d-491d-b2f7-7cb61836798d~~1')",2,139,"{'hbxlp.media', 'hbx.media', 'lgncal.media', 'contextual.media', 'hblg.media', 'cslogger.media'}","{26, 27, 28, 29, 30}"
"('data-so', '0d9d5811-ae4f-4777-98a8-6010c5969897~~1')",1,393,"{'.media', 'hbxlp.media', 'lg3.media', 'hbx.media', 'lgncal.media', 'cvision.media', 'contextual.media', 'hblg.media', 'coplg-w.media'}","{21, 22, 23, 24, 25}"
"('data-so', '0d9d5811-ae4f-4777-98a8-6010c5969897~~1')",2,139,"{'hbxlp.media', 'hbx.media', 'lgncal.media', 'contextual.media', 'hblg.media', 'cslogger.media'}","{26, 27, 28, 29, 30}"
"('data-som', '09952cf7ddd1415e952cf7ddd1515e5f~~1')",1,393,"{'.media', 'hbxlp.media', 'lg3.media', 'hbx.media', 'lgncal.media', 'cvision.media', 'contextual.media', 'hblg.media', 'coplg-w.media'}","{21, 22, 23, 24, 25}"
"('data-som', '09952cf7ddd1415e952cf7ddd1515e5f~~1')",2,139,"{'hbxlp.media', 'hbx.media', 'lgncal.media', 'contextual.media', 'hblg.media', 'cslogger.media'}","{26, 27, 28, 29, 30}"
"('data-sov', 'c7525a994f4a1746e9fc26be~~1')",1,390,"{'.media', 'hbxlp.media', 'lg3.media', 'hbx.media', 'lgncal.media', 'cvision.media', 'contextual.media', 'hblg.media', 'coplg-w.media'}","{21, 22, 23, 24, 25}"
"('data-sov', 'c7525a994f4a1746e9fc26be~~1')",2,139,"{'hbxlp.media', 'hbx.media', 'lgncal.media', 'contextual.media', 'hblg.media', 'cslogger.media'}","{26, 27, 28, 29, 30}"
"('data-xu', '4FlCNvXw1Juw7K5~~1')",1,318,"{'.media', 'hbxlp.media', 'lg3.media', 'hbx.media', 'cvision.media', 'lgncal.media', 'contextual.media', 'hblg.media', 'coplg-w.media'}","{24, 25, 22, 23}"
"('data-xu', '4FlCNvXw1Juw7K5~~1')",2,139,"{'hbxlp.media', 'hbx.media', 'lgncal.media', 'contextual.media', 'hblg.media', 'cslogger.media'}","{26, 27, 28, 29, 30}"
"('data-ze', 'TM6LMxYK3kC19y2AVTom~~1')",1,380,"{'.media', 'hbxlp.media', 'lg3.media', 'hbx.media', 'lgncal.media', 'cvision.media', 'contextual.media', 'hblg.media', 'coplg-w.media'}","{21, 22, 23, 24, 25}"
"('data-ze', 'TM6LMxYK3kC19y2AVTom~~1')",2,139,"{'hbxlp.media', 'hbx.media', 'lgncal.media', 'contextual.media', 'hblg.media', 'cslogger.media'}","{26, 27, 28, 29, 30}"
"('demdex', '08980642074004230442948801797311474884')",2,8,"{'.demdex', 'webmd.demdex', 'dpm.demdex'}",{41}
"('demdex', '08980642074004230442948801797311474884')",3,9,"{'.demdex', 'thecollegeboard.demdex', 'dpm.demdex'}",{71}
"('demdex', '12817733358675739114137966723933473093')",1,19,"{'.demdex', 'vanguard.demdex', 'morganstanley.demdex', 'dpm.demdex'}","{24, 21, 22, 23}"
"('demdex', '12817733358675739114137966723933473093')",2,24,"{'.demdex', 'webmd.demdex', 'dpm.demdex'}","{26, 28, 30}"
"('dextp', '285689-1-1588342023340')",2,2,"{'.demdex', 'dpm.demdex'}",{41}
"('dextp', '285689-1-1588342023340')",3,3,"{'thecollegeboard.demdex', 'dpm.demdex'}",{71}
"('dpm', '08980642074004230442948801797311474884')",2,1,{'.dpm'},{41}
"('dpm', '08980642074004230442948801797311474884')",3,4,"{'.dpm', 'dpm.demdex'}",{71}
"('dpm', '12817733358675739114137966723933473093')",1,7,"{'.dpm', 'dpm.demdex'}","{24, 21, 22}"
"('dpm', '12817733358675739114137966723933473093')",2,9,"{'.dpm', 'dpm.demdex'}","{26, 28, 30}"
"('everest_g_v2', 'g_surferid~XqwqHQAAAD3gWgFU')",1,6,"{'.everesttech', 'sync-tm.everesttech'}","{20, 21, 22, 23}"
"('everest_g_v2', 'g_surferid~XqwqHQAAAD3gWgFU')",2,1,{'sync-tm.everesttech'},{26}
"('everest_g_v2', 'g_surferid~Xqws_AAAAJslXQFU')",2,4,"{'.everesttech', 'sync-tm.everesttech'}","{40, 41}"
"('everest_g_v2', 'g_surferid~Xqws_AAAAJslXQFU')",3,23,"{'.everesttech', 'pixel.everesttech', 'cm.everesttech'}",{71}
"('extendtv_user_id', 'eae71626-6e0a-442e-8bbc-61d813a51f55')",1,7,"{'.extend', 'sync.extend'}",{23}
"('extendtv_user_id', 'eae71626-6e0a-442e-8bbc-61d813a51f55')",2,3,"{'.extend', 'sync.extend'}",{29}
"('fr', '0isX1gId8kcbJvOau..BerCoo...1.0.BerCoo.')",1,11,{'.facebook'},"{21, 22, 23, 24, 25}"
"('fr', '0isX1gId8kcbJvOau..BerCoo...1.0.BerCoo.')",2,1,{'.facebook'},{26}
"('fr', '0weVUHgKfSNYRMZ4T..BerC0D...1.0.BerC0D.')",2,10,{'.facebook'},"{41, 42, 43, 44, 45}"
"('fr', '0weVUHgKfSNYRMZ4T..BerC0D...1.0.BerC0D.')",3,30,{'.facebook'},"{64, 65, 66, 67, 68, 69, 70, 72, 51, 52, 53, 54, 55, 61, 62, 63}"
"('i', '186eb046-34b7-0bf9-3811-081c435b982a|1588341257')",1,21,"{'us-u.openx', 'rtb.openx', 'washingtonpost-d.openx', '.openx'}","{19, 20, 21, 22, 23, 24, 25}"
"('i', '186eb046-34b7-0bf9-3811-081c435b982a|1588341257')",2,20,"{'rtb.openx', 'us-u.openx', 'underarmour-d.openx', 'u.openx', '.openx'}","{27, 37, 38}"
"('ibkukinet', '314365897=-8586132655939712795')",1,1,{'.ib'},{21}
"('ibkukinet', '314365897=-8586132655939712795')",2,1,{'ib.mookie1'},{26}
"('ibkukiuno', 's=8fd5417d-abb8-457f-bdac-6fe642601240&h=&v=0&l=-8586132655939712795&op=&hl=0&vlu=0&tcs=1&dcc=-8586132655939712795')",1,1,{'.ib'},{21}
"('ibkukiuno', 's=8fd5417d-abb8-457f-bdac-6fe642601240&h=&v=0&l=-8586132655939712795&op=&hl=0&vlu=0&tcs=1&dcc=-8586132655939712795')",2,1,{'ib.mookie1'},{26}
"('icu', 'ChgI3-c3EAoYAiACKAIwmNSw9QU4AkACSAIQmNSw9QUYAQ..')",1,71,"{'ib.adnxs', 'sharethrough.adnxs', 'nym1-ib.adnxs', 'acdn.adnxs', 'cdn.adnxs', 'crcdn01.adnxs', '.adnxs', 'secure.adnxs'}","{20, 21, 22, 23, 24, 25}"
"('icu', 'ChgI3-c3EAoYAiACKAIwmNSw9QU4AkACSAIQmNSw9QUYAQ..')",2,14,"{'ib.adnxs', 'sharethrough.adnxs', 'nym1-ib.adnxs', 'acdn.adnxs', 'secure.adnxs'}","{37, 26, 27, 28, 30}"
"('id', '10607173391445011652')",1,1,{'.mookie1'},{22}
"('id', '10607173391445011652')",2,8,"{'.mookie1', 'gmtdmp.mookie1', 'ib.mookie1', 't.mookie1'}","{26, 27}"
"('khaos', 'K9O9DHV1-I-7BR2')",1,91,"{'secure-assets.rubiconproject', 'beacon-us-iad2.rubiconproject', 's.update', 'pixel.rubiconproject', 'pixel-us-east.rubiconproject', 'token.rubiconproject', '.rubiconproject', 'eus.rubiconproject', 'fastlane.rubiconproject', 'beacon-us-iad3.rubiconproject'}","{19, 20, 21, 22, 23, 24}"
"('khaos', 'K9O9DHV1-I-7BR2')",2,40,"{'secure-assets.rubiconproject', 'beacon-us-iad2.rubiconproject', 'pixel.rubiconproject', 'pixel-us-east.rubiconproject', 'ads.rubiconproject', '.rubiconproject', 'eus.rubiconproject', 'fastlane.rubiconproject', 'optimized-by.rubiconproject'}","{35, 37, 38, 39, 27}"
"('mc', '5eac2a27-197ba-42a6e-20de8')",1,27,"{'.quantserve', 'cms.quantserve', 'pixel.quantserve', 'secure.quantserve'}","{21, 22, 23, 24, 25}"
"('mc', '5eac2a27-197ba-42a6e-20de8')",2,1,{'pixel.quantserve'},{27}
"('mdata', '1|10607173391445011652|1588341336668')",1,1,{'.mookie1'},{22}
"('mdata', '1|10607173391445011652|1588341336668')",2,8,"{'.mookie1', 'gmtdmp.mookie1', 'ib.mookie1', 't.mookie1'}","{26, 27}"
"('mt_mop', '4:1588341360')",1,1,{'.mathtag'},{23}
"('mt_mop', '4:1588341360')",2,5,"{'sync.mathtag', 'tags.mathtag'}","{26, 27, 29}"
"('mxpim', 'R1B331_C999EAD5_44BC0608.1.5EAC2A71000000000000000000000000000000000000000000000000000000000000000000000000000000005EAC2A26')",1,2,{'.mxptint'},{23}
"('mxpim', 'R1B331_C999EAD5_44BC0608.1.5EAC2A71000000000000000000000000000000000000000000000000000000000000000000000000000000005EAC2A26')",2,1,{'pmp.mxptint'},{27}
"('ov', 'fec47ab2acbc065de8253d4c89d1d649')",1,1,{'.mookie1'},{22}
"('ov', 'fec47ab2acbc065de8253d4c89d1d649')",2,8,"{'.mookie1', 'gmtdmp.mookie1', 'ib.mookie1', 't.mookie1'}","{26, 27}"
"('pd', 'v2|1588341279|kegahEkWgyiK')",1,13,"{'us-u.openx', 'rtb.openx', '.openx'}","{21, 22, 23, 24, 25}"
"('pd', 'v2|1588341279|kegahEkWgyiK')",2,1,{'us-u.openx'},{27}
"('personalization_id', '\\v1_gLzJw0SxSjbXnljPv5aM9Q==\\')",1,3,"{'platform.twitter', 'syndication.twitter'}",{24}
"('personalization_id', '\\v1_gLzJw0SxSjbXnljPv5aM9Q==\\')",2,3,{'analytics.twitter'},"{26, 27, 28}"
"('pux', '1185%3D90565%261197%3D90565%261512%3D90565%262132%3D90565%262231%3D90565%262238%3D90565%262249%3D90565%262307%3D90565%262313%3D90565%262528%3D90565%262596%3D90565%262650%3D90565%262676%3D90565%262861%3D90565%262974%3D90565%263664%3D90565%263668%3D90565%263778%3D90565%263822%3D90565%263992%3D90565%264112%3D90565%265120%3D90565%265446%3D90565%265474%3D90565%26goog%3D90565%26idl%3D90565%26brx%3D90565%26w55c%3D90565%26a9us%3D90565%26turn%3D90565%26bk%3D90565%261197ext%3D90565%26')",1,3,{'eus.rubiconproject'},{24}
"('pux', '1185%3D90565%261197%3D90565%261512%3D90565%262132%3D90565%262231%3D90565%262238%3D90565%262249%3D90565%262307%3D90565%262313%3D90565%262528%3D90565%262596%3D90565%262650%3D90565%262676%3D90565%262861%3D90565%262974%3D90565%263664%3D90565%263668%3D90565%263778%3D90565%263822%3D90565%263992%3D90565%264112%3D90565%265120%3D90565%265446%3D90565%265474%3D90565%26goog%3D90565%26idl%3D90565%26brx%3D90565%26w55c%3D90565%26a9us%3D90565%26turn%3D90565%26bk%3D90565%261197ext%3D90565%26')",2,1,{'eus.rubiconproject'},{27}
"('pxrc', 'CKfUsPUFEgUI204QABIGCL7qARAs')",1,5,"{'.rlcdn', 'idsync.rlcdn'}",{22}
"('pxrc', 'CKfUsPUFEgUI204QABIGCL7qARAs')",2,1,{'idsync.rlcdn'},{26}
"('rlas3', 'pR5BKWD9u/2NqMmfZwVkfgq2Qp7+HbGsrRFrDxkGyuM=')",1,2,{'.rlcdn'},{22}
"('rlas3', 'pR5BKWD9u/2NqMmfZwVkfgq2Qp7+HbGsrRFrDxkGyuM=')",2,1,{'idsync.rlcdn'},{26}
"('rsid', '1|DNi5OVoMr/vVSy6g0MQzNRXnpsxWJKbdvHdREsWffk0b8Nz5OWnkL8WfY9WPiuPJR3OqtTnGEmGoFyjKXUn7RjT/rmwFilIR+x8qfNyRRkN5zGTGXOMAbP+vG/+NWVqRHrqb+gxpPzD5ypA2Cex7l/Usaek=')",1,149,"{'secure-assets.rubiconproject', 'beacon-us-iad2.rubiconproject', 's.update', 'pixel.rubiconproject', 'pixel-us-east.rubiconproject', '.rubiconproject', 'token.rubiconproject', 'eus.rubiconproject', 'fastlane.rubiconproject', 'beacon-us-iad3.rubiconproject'}","{1, 2, 3, 4, 5, 6, 7, 9, 16, 17, 19, 20, 21, 22, 23, 24}"
"('rsid', '1|DNi5OVoMr/vVSy6g0MQzNRXnpsxWJKbdvHdREsWffk0b8Nz5OWnkL8WfY9WPiuPJR3OqtTnGEmGoFyjKXUn7RjT/rmwFilIR+x8qfNyRRkN5zGTGXOMAbP+vG/+NWVqRHrqb+gxpPzD5ypA2Cex7l/Usaek=')",2,78,"{'secure-assets.rubiconproject', 'beacon-us-iad2.rubiconproject', 'pixel.rubiconproject', 'pixel-us-east.rubiconproject', 'ads.rubiconproject', '.rubiconproject', 'token.rubiconproject', 'eus.rubiconproject', 'fastlane.rubiconproject', 'optimized-by.rubiconproject'}","{35, 37, 38, 39, 40, 41, 47, 48, 49, 50, 27}"
"('ses10', '254660^1')",1,67,"{'secure-assets.rubiconproject', 'beacon-us-iad2.rubiconproject', 's.update', 'pixel.rubiconproject', 'pixel-us-east.rubiconproject', 'token.rubiconproject', '.rubiconproject', 'eus.rubiconproject', 'beacon-us-iad3.rubiconproject'}","{20, 21, 22, 23, 24}"
"('ses10', '254660^1')",2,12,"{'secure-assets.rubiconproject', 'pixel.rubiconproject', 'pixel-us-east.rubiconproject', 'eus.rubiconproject', 'fastlane.rubiconproject'}","{35, 27, 37, 38}"
"('sessionid', 'h-fd2e5e3f9503e51b2d5eab0dd9da285a_t-1588341256')",1,1,{'.mid'},{19}
"('sessionid', 'h-fd2e5e3f9503e51b2d5eab0dd9da285a_t-1588341256')",2,2,"{'.rkdms', 'mid.rkdms'}",{27}
"('si', 'Q6416277581656778414P')",1,5,"{'.owneriq', 'px.owneriq'}",{23}
"('si', 'Q6416277581656778414P')",2,3,"{'.owneriq', 'px.owneriq'}",{29}
"('ssi', 'e625993a-c5ac-4c9b-abc5-4b35049967f3#1588341261658')",1,14,"{'pixel-sync.sitescout', '.sitescout', 'pixel-a.sitescout'}","{19, 21, 22, 23}"
"('ssi', 'e625993a-c5ac-4c9b-abc5-4b35049967f3#1588341261658')",2,9,"{'pixel-sync.sitescout', '.sitescout'}",{27}
"('stx_user_id', '4a8d1984-473d-491d-b2f7-7cb61836798d')",1,10,"{'btlr.sharethrough', '.sharethrough', 'b.sharethrough', 'native.sharethrough'}","{21, 22, 23, 24, 25}"
"('stx_user_id', '4a8d1984-473d-491d-b2f7-7cb61836798d')",2,10,"{'btlr.sharethrough', 'static.sharethrough', 'b.sharethrough', 'native.sharethrough'}","{26, 27, 28, 30}"
"('suid', '0A826C8349FE44B59385C860B5A92A90')",1,2,"{'.simpli', 'um.simpli'}","{21, 23}"
"('suid', '0A826C8349FE44B59385C860B5A92A90')",2,2,{'um.simpli'},{27}
"('suid_legacy', '0A826C8349FE44B59385C860B5A92A90')",1,2,"{'.simpli', 'um.simpli'}","{21, 23}"
"('suid_legacy', '0A826C8349FE44B59385C860B5A92A90')",2,2,{'um.simpli'},{27}
"('t_gid', 'e9d0bbdc-bd0c-45f3-b695-a9658c2e2e27-tuct5a5afe4')",1,1,{'.taboola'},{23}
"('t_gid', 'e9d0bbdc-bd0c-45f3-b695-a9658c2e2e27-tuct5a5afe4')",2,10,"{'trc.taboola', '.taboola', 'match.taboola', 'cdn.taboola'}","{26, 27, 39}"
"('tluid', '7265616135096699616')",1,7,"{'.3lift', 'dmpsync.3lift', 'eb2.3lift'}","{24, 22}"
"('tluid', '7265616135096699616')",2,6,"{'.3lift', 'eb2.3lift'}","{26, 27}"
"('tuuid', '7191d8f3-a6dd-4cf7-9142-a725291c92c7')",1,5,"{'t.myvisualiq', '.myvisualiq'}",{23}
"('tuuid', '7191d8f3-a6dd-4cf7-9142-a725291c92c7')",2,1,{'t.myvisualiq'},{37}
"('tuuid', 'de1edf2d-73a4-47bc-b136-4ae7063511b2')",1,10,"{'.bidswitch', 'x.bidswitch'}","{24, 19, 21, 22}"
"('tuuid', 'de1edf2d-73a4-47bc-b136-4ae7063511b2')",2,6,"{'x.bidswitch', 'us-east-sync.bidswitch'}","{26, 27}"
"('tuuid_lu', '1588341261')",1,10,"{'.bidswitch', 'x.bidswitch'}","{24, 19, 21, 22}"
"('tuuid_lu', '1588341261')",2,6,"{'x.bidswitch', 'us-east-sync.bidswitch'}","{26, 27}"
"('tuuid_lu', '1588341357')",1,2,{'.myvisualiq'},{23}
"('tuuid_lu', '1588341357')",2,1,{'t.myvisualiq'},{37}
"('u', 'C|0EAgmPuapJj7mqQAAAAAAAgAsAQfohgIAAC0BB-gYAgABAAcAAAAAAW4pUv__HgAAAAAAD4I6AAAAABApTwkAAAAABZFUGgAAAAAbxjdSAA')",1,2,"{'aa.agkn', '.agkn'}",{21}
"('u', 'C|0EAgmPuapJj7mqQAAAAAAAgAsAQfohgIAAC0BB-gYAgABAAcAAAAAAW4pUv__HgAAAAAAD4I6AAAAABApTwkAAAAABZFUGgAAAAAbxjdSAA')",2,1,{'aa.agkn'},{27}
"('ud', '""eJxrXxzq6XKLQSEpyczC1CjVzMjCwtjI1DDFyNLSKCUp1dDYwsLUwMjSbHFZatGCpaXFqSlJh5ZU5JTkNK0uiw91jHdz9PX0iVzullmUmpZfsQIsFuYatMjcaEl%252BUWb6otDgxUUpaQyLSopPBe944QwAYusp%252FQ%253D%253D""')",1,8,{'.exelator'},"{24, 25, 23}"
"('ud', '""eJxrXxzq6XKLQSEpyczC1CjVzMjCwtjI1DDFyNLSKCUp1dDYwsLUwMjSbHFZatGCpaXFqSlJh5ZU5JTkNK0uiw91jHdz9PX0iVzullmUmpZfsQIsFuYatMjcaEl%252BUWb6otDgxUUpaQyLSopPBe944QwAYusp%252FQ%253D%253D""')",2,4,{'.exelator'},{27}
"('ud', '\\eJxrXxzq6XKLQSEpyczC1CjVzMjCwtjI1DDFyNLSKCUp1dDYwsLUwMjSbHFZatGCpaXFqSlJh5ZU5JTkNK0uiw91jHdz9PX0iVzullmUmpZfsQIsFuYatMjcaEl%252BUWb6otDgxUUpaQyLSopPBe944QwAYusp%252FQ%253D%253D\\')",1,5,"{'cdn.exelator', 'mydmp.exelator'}","{24, 25, 23}"
"('ud', '\\eJxrXxzq6XKLQSEpyczC1CjVzMjCwtjI1DDFyNLSKCUp1dDYwsLUwMjSbHFZatGCpaXFqSlJh5ZU5JTkNK0uiw91jHdz9PX0iVzullmUmpZfsQIsFuYatMjcaEl%252BUWb6otDgxUUpaQyLSopPBe944QwAYusp%252FQ%253D%253D\\')",2,2,"{'loadus.exelator', 'loadm.exelator'}",{27}
"('uid', '2723826051447814477')",1,17,"{'r.turn', 'ad.turn', '.turn', 'd.turn'}","{21, 22, 23}"
"('uid', '2723826051447814477')",2,9,"{'ad.turn', '.turn', 'd.turn'}","{26, 29}"
"('uid', '4920355138092551235')",1,8,"{'.adform', 'c1.adform'}","{24, 21, 23}"
"('uid', '4920355138092551235')",2,15,"{'.adform', 'c1.adform'}","{37, 27, 29, 38}"
"('univ_id', '537072971|f22d0c1f-900e-4c1c-ba61-841bc375953c|1588341282027858')",1,8,"{'us-u.openx', 'rtb.openx', '.openx'}","{21, 22, 23, 24, 25}"
"('univ_id', '537072971|f22d0c1f-900e-4c1c-ba61-841bc375953c|1588341282027858')",2,10,"{'us-u.openx', 'u.openx', 'underarmour-d.openx', 'rtb.openx'}","{27, 37, 38}"
"('uuid', '11c35eac-2a21-4b00-b00b-f8c935a11a0c')",1,8,"{'.mathtag', 'sync.mathtag', 'pixel.mathtag'}","{21, 22, 23}"
"('uuid', '11c35eac-2a21-4b00-b00b-f8c935a11a0c')",2,11,"{'sync.mathtag', 'pixel.mathtag', 'tags.mathtag'}","{35, 26, 27, 29}"
"('uuid2', '7526883567168608467')",1,131,"{'sharethrough.adnxs', 'ib.adnxs', 'nym1-ib.adnxs', 'acdn.adnxs', 'cdn.adnxs', 'crcdn01.adnxs', '.adnxs', 'secure.adnxs'}","{19, 20, 21, 22, 23, 24, 25}"
"('uuid2', '7526883567168608467')",2,40,"{'ib.adnxs', 'sharethrough.adnxs', 'nym1-ib.adnxs', 'acdn.adnxs', '.adnxs', 'secure.adnxs'}","{37, 38, 39, 26, 27, 28, 30}"
"('vis10', '254660^1')",1,67,"{'secure-assets.rubiconproject', 'beacon-us-iad2.rubiconproject', 's.update', 'pixel.rubiconproject', 'pixel-us-east.rubiconproject', 'token.rubiconproject', '.rubiconproject', 'eus.rubiconproject', 'beacon-us-iad3.rubiconproject'}","{20, 21, 22, 23, 24}"
"('vis10', '254660^1')",2,12,"{'secure-assets.rubiconproject', 'pixel.rubiconproject', 'pixel-us-east.rubiconproject', 'eus.rubiconproject', 'fastlane.rubiconproject'}","{35, 27, 37, 38}"
"('vis15', '254660^2')",1,68,"{'secure-assets.rubiconproject', 'beacon-us-iad2.rubiconproject', 's.update', 'pixel.rubiconproject', 'pixel-us-east.rubiconproject', 'token.rubiconproject', '.rubiconproject', 'eus.rubiconproject', 'beacon-us-iad3.rubiconproject'}","{20, 21, 22, 23, 24}"
"('vis15', '254660^2')",2,12,"{'secure-assets.rubiconproject', 'pixel.rubiconproject', 'pixel-us-east.rubiconproject', 'eus.rubiconproject', 'fastlane.rubiconproject'}","{35, 27, 37, 38}"
"('vis2', '254660^2')",1,68,"{'secure-assets.rubiconproject', 'beacon-us-iad2.rubiconproject', 's.update', 'pixel.rubiconproject', 'pixel-us-east.rubiconproject', 'token.rubiconproject', '.rubiconproject', 'eus.rubiconproject', 'beacon-us-iad3.rubiconproject'}","{20, 21, 22, 23, 24}"
"('vis2', '254660^2')",2,10,"{'secure-assets.rubiconproject', 'pixel.rubiconproject', 'pixel-us-east.rubiconproject', 'eus.rubiconproject', 'fastlane.rubiconproject'}","{35, 27, 37}"
"('visitor-id', '2313428786589727000V10')",1,474,"{'.media', 'hbxlp.media', 'lg3.media', 'hbx.media', 'lgncal.media', 'cvision.media', 'contextual.media', 'cs.media', 'hblg.media', 'cslogger.media', 'coplg-w.media'}","{21, 22, 23, 24, 25}"
"('visitor-id', '2313428786589727000V10')",2,139,"{'hbxlp.media', 'hbx.media', 'lgncal.media', 'contextual.media', 'hblg.media', 'cslogger.media'}","{26, 27, 28, 29, 30}"
"('wfivefivec', '4FlCNvXw1Juw7K5')",1,13,"{'.w55c', 'pm.w55c', 'i.w55c'}","{21, 22}"
"('wfivefivec', '4FlCNvXw1Juw7K5')",2,3,"{'.w55c', 'pm.w55c'}",{29}
"('zuid', 'TM6LMxYK3kC19y2AVTom')",1,16,"{'b1sync.zemanta', '.zemanta'}","{21, 22, 23}"
"('zuid', 'TM6LMxYK3kC19y2AVTom')",2,6,"{'b1sync.zemanta', '.zemanta'}",{27}
