Country,Authority,Date,Issued Fine?,Fine,Controller,QuotedArt,Type,Summary,Info
FINLAND,Deputy Data Protection Ombudsman,5/22/20,Yes,16000,Kymen Vesi Oy,Art. 35 GDPR,Non-compliance with general data processing principles,Fine for failure to carry out a data protection impact assessment ('DPIA') for the processing of location data of employees with a vehicle information system,https://tietosuoja.fi/documents/6927448/22406974/Työntekijöiden+sijaintitietojen+käsittely+ja+vaikutustenarviointi.pdf/2d04e545-d427-8a0d-3f4d-967de7b428ac/Työntekijöiden+sijaintitietojen+käsittely+ja+vaikutustenarviointi.pdf
FINLAND,Deputy Data Protection Ombudsman,5/22/20,Yes,100000,Posti Group Oyj,"Art. 12 GDPR, Art. 13 GDPR, Art. 14 GDPR, Art. 15 GDPR",Insufficient fulfilment of data subjects rights,The decision relates to complaints alleging that data subjects received direct marketing from the company although they had requested that their postal data be deleted. Investigations also revealed that the data protection information provided by the company was not transparent enough.,https://tietosuoja.fi/documents/6927448/22406974/Henkilötietojen+käsittelyn+läpinäkyvyys+ja+rekisteröidylle+toimitettavat+tiedot.pdf/b869b7ba-1a05-572e-d97a-9c8a56998fc1/Henkilötietojen+käsittelyn+läpinäkyvyys+ja+rekisteröidylle+toimitettavat+tiedot.pdf
FINLAND,Deputy Data Protection Ombudsman,5/22/20,Yes,12500,Unknown Company,"Art. 5 GDPR, Art. 6 GDPR",Insufficient legal basis for data processing,Processing of employee data without sufficient legal basis.,https://tietosuoja.fi/documents/6927448/22406974/Työnhakijoiden+henkilötietojen+kerääminen+tarpeettomasti.pdf/6cedce13-60cd-c6f9-60cf-b9c8e17db10a/Työnhakijoiden+henkilötietojen+kerääminen+tarpeettomasti.pdf
NORWAY,Norwegian Supervisory Authority (Datatilsynet),5/19/20,Yes,283000,Bergen Municipality,"Art. 5 (1) f) GDPR, Art. 32 GDPR",Insufficient technical and organisational measures to ensure information security,Fine due to several security shortcomings and non-compliance with general data processing principles in a module for communication between schools and parents.,https://www.datatilsynet.no/contentassets/a607931970444b1ea535ef0ecbbf0965/varsel-om-overtredelsesgebyr.pdf
IRELAND,Data Protection Authority of Ireland,5/17/20,Yes,75000,Tusla Child and Family Agency,"Art. 5 GDPR, Art. 6 GDPR",Insufficient legal basis for data processing,"The company has erroneously disclosed personal data, including information about children, to unauthorized persons. In one case, the contact and location data of a mother and a child were disclosed to an alleged offender, and in two other cases, data about children in foster care were improperly disclosed to blood relatives, including in one case to a father in prison.",https://www.irishtimes.com/news/crime-and-law/tusla-becomes-first-organisation-fined-for-gdpr-rule-breach-1.4255692?mode=amp
DENMARK,Danish Data Protection Authority (Datatilsynet),5/15/20,Yes,6700,JobTeam A/S DKK,Art. 15 GDPR,Insufficient fulfilment of data subjects rights,The company has deleted personal data affected by a request for access without legal reason.,https://www.datatilsynet.dk/presse-og-nyheder/nyhedsarkiv/2020/maj/jobteam-indstillet-til-boede/
BELGIUM,Belgian Data Protection Authority (APD),5/14/20,Yes,50000,Social Media Provider,Art. 6 GDPR,Insufficient legal basis for data processing,The company has sent invitations to contacts uploaded by its users without their consent or any other legal basis.,https://www.dataprotectionauthority.be/sites/privacycommission/files/documents/Beslissing_GK_25-2020_EN.pdf
SWEDEN,Data Protection Authority of Sweden,5/12/20,Yes,11200,Health and Medical Board of the Region of Örebro County,"Art. 5 GDPR, Art. 6 GDPR",Insufficient legal basis for data processing,Publication of personal data of a patient without sufficient legal basis.,https://www.datainspektionen.se/globalassets/dokument/beslut/beslut-tillsyn-region-orebro-2020-05-11.pdf
ROMANIA,Romanian National Supervisory Authority for Personal Data Processing (ANSPDCP),5/5/20,Yes,5000,Banca Comercială Română SA,Art. 32 GDPR,Insufficient technical and organisational measures to ensure information security,The data protection authority finds that the company has not taken adequate technical and organisational measures to ensure an adequate level of information security. This applies in particular to the collection and transmission of copies of customers' identification documents via WhatsApp.,https://www.dataprotection.ro/?page=Sanctiune_pentru_incalcarea_RGPD_BCR&lang=ro
NORWAY,Norwegian Supervisory Authority (Datatilsynet),5/3/20,Yes,134000,Telenor Norge AS,Art. 32 GDPR,Insufficient technical and organisational measures to ensure information security,Fines for security breaches in a voice mailbox function.,https://www.datatilsynet.no/aktuelt/aktuelle-nyheter-2020/varsel-om-irettesettelse-mot-telenor-norge-as/
THE NETHERLANDS,Dutch Supervisory Authority for Data Protection (AP),4/30/20,Yes,725000,Unknown Organisation,"Art. 5 GDPR, Art. 9 GDPR",Insufficient legal basis for data processing,"The organisation had required its staff to have their fingerprints scanned to record attendance. However, as the decision of the data protection authority stated, the organisation could not rely on exceptions to the processing of this special category of personal data and the company could also not provide any evidence that the employees had given their consent to this data processing.",https://autoriteitpersoonsgegevens.nl/sites/default/files/atoms/files/boetebesluit_vingerafdrukken_personeel.pdf
ESTONIA,Estonian Data Protection Authority (aepd),4/30/20,Yes,500,Housing Association,Art. 6 GDPR,Insufficient legal basis for data processing,Fine of EUR 500 against a housing association for publishing photos showing members of the association without their consent.,https://www.aki.ee/sites/default/files/ettekirjutused/2019/ettekirjutus-hoiatus_isikuandmete_kaitse_asjas_30.04.2020_nr_2.1.-6-20-19_korteriuhistu_outokumpu_19.pdf
SWEDEN,Data Protection Authority of Sweden,4/29/20,Yes,18700,National Government Service Centre (NGSC),"Art. 33 GDPR, Art. 34 GDPR",Insufficient fulfilment of data breach notification obligations,The DPA's decision shows that it took almost five months for the company to notify the data subjects of a data breach and almost three months for the DPA to receive a notification of a data breach concerning an security lack of IT systems of the company.,https://www.datainspektionen.se/globalassets/dokument/beslut/beslut-tillsyn-ssc-20200428.pdf
BELGIUM,Belgian Data Protection Authority (APD),4/28/20,Yes,50000,Proximus SA,"Art. 31 GDPR, Art. 58 GDPR, Art. 37 GDPR",Lack of appointment of data protection officer,"According to the data protection authority, the company's data protection officer was not sufficiently involved in the processing of personal data breaches and the company did not have a system in place to prevent a conflict of interest of the DPO, who also held numerous other positions within the company (head of compliance and audit department), which led the DPA to the conclusion that the company's DPO was not able to work independently.",https://www.gegevensbeschermingsautoriteit.be/sites/privacycommission/files/documents/Beslissing_GK_18-2020_NL.pdf
ROMANIA,Romanian National Supervisory Authority for Personal Data Processing (ANSPDCP),4/23/20,Yes,3000,Telekom Romania Communications SA,Art. 32 GDPR,Insufficient technical and organisational measures to ensure information security,The company had not taken sufficient technical and organizational measures to ensure the accuracy of personal data transmitted by telephone for the conclusion of contracts. This led to contracts being concluded by telephone on behalf of other data subjects,https://www.dataprotection.ro/?page=O_noua_sanctiune_pentru_incalcarea_RGPD_iunie_2020&lang=ro
ROMANIA,Romanian National Supervisory Authority for Personal Data Processing (ANSPDCP),4/23/20,Yes,3000,Estee Lauder Romania,"Art. 6 GDPR, Art. 7 GDPR, Art. 9 GDPR",Insufficient legal basis for data processing,Processing of personal data without sufficient legal basis including health data.,https://www.dataprotection.ro/?page=Amenda_pentru_incalcarea_RGPD_iunie_2020&lang=ro
BULGARIA,Data Protection Commision of Bulgaria (KZLD),4/14/20,Yes,2000,Political Party,Art. 6 GDPR,Insufficient legal basis for data processing,Forging signatures on a voters' list.,https://www.cpdp.bg/?p=element&aid=1247
HUNGARY,Hungarian National Authority for Data Protection and the Freedom of Information (NAIH),3/26/20,Yes,2890,Bank,"Art. 5 GDPR, Art. 6 GDPR",Insufficient legal basis for data processing,"Due to an administrative error, the personal data of the data subject were registered and transferred to the Central Credit Information System (CCI) in connection with a loan agreement, without the data subject being a party to the agreement.",https://www.naih.hu/files/NAIH-2020-32-4-hatarozat.pdf
ROMANIA,Romanian National Supervisory Authority for Personal Data Processing (ANSPDCP),3/25/20,Yes,2000,SOS Infertility Association,Art. 58 GDPR,Insufficient cooperation with supervisory authority,The Association did not provide the data protection authority with the information requested by the latter after the Association had processed personal data without a sufficient legal basis.,https://www.dataprotection.ro/index.jsp?page=Comunicat_amenda_asociatia_sos_infertilitatea&lang=ro
SPAIN,Spanish Data Protection Authority (aepd),3/25/20,Yes,5000,Xfera Moviles S.A.,Art. 58 GDPR,Insufficient cooperation with supervisory authority,The company did not provide the data protection authority with the requested information in a timely manner. The AEPD's request was preceded by a request from a data subject for access to its personal data.,https://www.aepd.es/es/documento/ps-00436-2019.pdf
ROMANIA,Romanian National Supervisory Authority for Personal Data Processing (ANSPDCP),3/25/20,Yes,3000,Dante International,"Art. 6 GDPR, Art. 21 GDPR",Insufficient legal basis for data processing,The company has sent a commercial e-mail to a client though the client had previously unsubscribed from commercial communications.,https://www.dataprotection.ro/index.jsp?page=Comunicat_amenda_dante_international_martie_2020&lang=ro
ROMANIA,Romanian National Supervisory Authority for Personal Data Processing (ANSPDCP),3/25/20,Yes,4150,Vodafone Romania,Art. 32 GDPR,Insufficient technical and organisational measures to ensure information security,The company has sent an email to a customer which contained personal data of another customer due to inadequate technical and organisational measures to ensure information security.,https://www.dataprotection.ro/index.jsp?page=Comunicat_noua_amenda_vodafone&lang=ro
ROMANIA,Romanian National Supervisory Authority for Personal Data Processing (ANSPDCP),3/25/20,Yes,3000,Enel Energie,Art. 32 GDPR,Insufficient technical and organisational measures to ensure information security,The company has sent an email to a client which contained personal data of another client since the company failed to implement adequate technical and organisational measures to ensure an adequate level of information security.,https://www.dataprotection.ro/index.jsp?page=Comunicat_amenda_enel_martie_2020&amp;lang=ro
GREECE,Hellenic Data Protection Authority (HDPA),3/20/20,Yes,8000,Speech and Special Education Centre - Mihou Dimitra,"Art. 15 GDPR, Art. 58 GDPR",Insufficient fulfilment of data subjects rights,"The complainant had requested access to his child's data and to tax information. This request was rejected by the data controller. In addition, the data controller had violated an order of the data protection authority regarding access to the data. For this, a fine of EUR 8000 was imposed: EUR 3000 for not granting access to the data and EUR 5000 for violating orders of the data protection authority.","http://www.dpa.gr/APDPXPortlets/htdocs/documentDisplay.jsp?docid=89,253,106,96,141,223,198,107"
HUNGARY,Hungarian National Authority for Data Protection and the Freedom of Information (NAIH),3/19/20,Yes,5800,Unknown Company,"Art. 6 GDPR, Art. 15 GDPR",Insufficient fulfilment of data subjects rights,The data controller has not complied with its obligation regarding the right of access to video recordings and was also unable to demonstrate that his data processing activities had been in compliance with data protection laws.,https://www.naih.hu/files/NAIH-2020-200-hatarozat.pdf
SPAIN,Spanish Data Protection Authority (aepd),3/19/20,Yes,6000,"Oliveros Ustrell, S.L.","Art. 5 GDPR, Art. 6 GDPR",Insufficient legal basis for data processing,"The company forwarded an unsigned porting contract to the operator Vodafone. However, the data controller was unable to provide evidence of the order. For this reason, the personal data of the data subject has been processed without sufficient legal basis.",https://www.aepd.es/es/documento/ps-00008-2020.pdf
SPAIN,Spanish Data Protection Authority (aepd),3/18/20,Yes,30000,Telefónica,Art. 58 GDPR,Insufficient cooperation with supervisory authority,"Telefonica had failed to comply with decision TD / 00127/2019 of the Director of the AEPD, which states that it had to reply to data subjects' request for right of access and erasure of data.",https://www.aepd.es/es/documento/ps-00351-2019.pdf
SPAIN,Spanish Data Protection Authority (aepd),3/16/20,Yes,4000,Private Person,"Art. 5 GDPR, Art. 6 GDPR",Insufficient legal basis for data processing,"On a beach, a private person secretly photographed female bathers. The incident was reported to the AEPD by the local police.",https://www.aepd.es/es/documento/ps-00335-2019.pdf
SPAIN,Spanish Data Protection Authority (aepd),3/16/20,Yes,5000,"Centro De Estudio Dirigidos Delta, S.L.",Art. 5 (1) f) GDPR,Non-compliance with general data processing principles,Centro De Estudio Dirigidos Delta sent a message containing personal data such as first and last name and ID numbers to a third party via WhatsApp without the consent of the data subjects. This constitutes a violation of the principles of integrity and confidentiality under Article 5(1)(f) GDPR.,https://www.aepd.es/es/documento/ps-00425-2019.pdf
SPAIN,Spanish Data Protection Authority (aepd),3/16/20,Yes,6000,Amalfi Servicios de Restauracion S.L.,"Art. 5 GDPR, Art. 13 GDPR, Art. 14 GDPR",Non-compliance with general data processing principles,"Video surveillance of public space and thus violation of the principle of data minimization. Furthermore: Violation of information obligations, as insufficient information has been provided about video surveillance.",https://www.aepd.es/es/documento/ps-00317-2019.pdf
SPAIN,Spanish Data Protection Authority (aepd),3/12/20,Yes,2000,Homeowners Association,"Art. 5 GDPR, Art. 13 GDPR, Art. 14 GDPR",Non-compliance with general data processing principles,"Video surveillance of public space and thus violation of the principle of data minimization. Furthermore: Violation of information obligations, as insufficient information has been provided about video surveillance.",https://www.aepd.es/es/documento/ps-00272-2019.pdf
SWEDEN,Data Protection Authority of Sweden,3/11/20,Yes,7000000,Google LLC,"Art. 5 GDPR, Art. 6 GDPR, Art. 17 GDPR",Insufficient fulfilment of data subjects rights,"The Swedish data protection authority has fined Google LLC €7 million for failing to adequately comply with its obligations regarding the right of data subjects to have search results removed from the results list. Datainspektionen had already completed a review in 2017 of the way in which Google deals with the right of individuals to have search results removed from Google's search engine and that Datainspektionen had instructed Google to remove a number of search results. In addition, data inspections stated that it had initiated a further review of Google's practices in 2018 after it received indications that several of the results that should have been removed still appeared in search results.

Datainspektionen also objected to Google's current practice of informing web site owners about which results Google is removing from search results, specifically which link has been removed and who is behind the request for removal from the list, as this is without legal basis.",https://www.datainspektionen.se/globalassets/dokument/beslut/2020-03-11-beslut-google.pdf
DENMARK,Danish Data Protection Authority (Datatilsynet),3/10/20,Yes,14000,Gladsaxe Municipality,"Art. 5 (1) f) GDPR, Art. 32 GDPR",Insufficient technical and organisational measures to ensure information security,"A computer, containing personal data that was not protected by encryption, has been stolen, including sensitive information and personal identification numbers of 20,620 city residents.",https://www.datatilsynet.dk/presse-og-nyheder/nyhedsarkiv/2020/mar/to-kommuner-indstillet-til-boede/
ICELAND,Icelandic data protection authority ('Persónuvernd'),3/10/20,Yes,20600,National Center of Addiction Medicine ('SAA'),"Art. 5 (1) f) GDPR, Art. 32 GDPR",Insufficient technical and organisational measures to ensure information security,"Persónuvernd noted that a former employee of the SAA received boxes of allegedly personal belongings that he had left there, but which also contained patient data, including the health records of 252 former patients and documents with the names of about 3,000 people who had participated in rehabilitation for alcohol and drug abuse.",https://www.personuvernd.is/urlausnir/nr/2882
ICELAND,Icelandic data protection authority ('Persónuvernd'),3/10/20,Yes,9000,Breiðholt Upper Secondary School,"Art. 5 (1) f) GDPR, Art. 32 GDPR",Insufficient technical and organisational measures to ensure information security,"In violation of Art. 32 GDPR, a teacher had sent an e-mail to his students and their parents with an attachment containing data on their well-being, academic performance and social conditions.",https://www.personuvernd.is/urlausnir/nr/2885
DENMARK,Danish Data Protection Authority (Datatilsynet),3/10/20,Yes,7000,Hørsholm Municipality,"Art. 5 (1) f) GDPR, Art. 32 GDPR",Insufficient technical and organisational measures to ensure information security,"A city government employee had his work computer stolen, which contained the personal data of about 1,600 city government employees, including sensitive information and information about social security numbers.",https://www.datatilsynet.dk/presse-og-nyheder/nyhedsarkiv/2020/mar/to-kommuner-indstillet-til-boede/
HUNGARY,Hungarian National Authority for Data Protection and the Freedom of Information (NAIH),3/9/20,Yes,870,Creditor,"Art. 5 GDPR, Art. 6 GDPR",Insufficient legal basis for data processing,"Sending of SMS to a data subject as a reminder for a debt, even when the debt has already been paid.",https://www.naih.hu/files/NAIH-2020-2555-hatarozat.pdf
SPAIN,Spanish Data Protection Authority (aepd),3/9/20,Yes,15000,Gesthotel Activos Balagares,Art. 5 (1) f) GDPR,Non-compliance with general data processing principles,"The data subject argued that he had sent a private letter to the hotel management and union delegates containing information about an episode of harassment he had suffered, describing a specific medical condition. In violation of the principle of integrity and confidentiality, the hotel management and union delegates subsequently read the contents of this letter in a meeting with other employees.",https://www.aepd.es/es/documento/ps-00358-2019.pdf
POLAND,Polish National Personal Data Protection Office (UODO),3/9/20,Yes,4400,Vis Consulting Sp. z o.o.,"Art. 31 GDPR, Art. 58 GDPR",Insufficient cooperation with supervisory authority,"The company prevented an inspection by the data protection authority. As a result, the company has violated Article 31 in conjunction with Article 58(1)(e) and (f) of the GDPR.",https://uodo.gov.pl/decyzje/ZSPR.421.19.2019
SPAIN,Spanish Data Protection Authority (aepd),3/6/20,Yes,4000,Private person,Art. 5 GDPR,Non-compliance with general data processing principles,Unlawful usage of video surveillance cameras which also monitored parts of the public space (violation of principle of data minimization).,https://www.aepd.es/es/documento/ps-00293-2019.pdf
ITALY,Italian Data Protection Authority (Garante),3/6/20,Yes,4000,Liceo Scientifico Nobel di Torre del Greco,"Art. 5 GDPR, Art. 6 GDPR, Art. 9 GDPR",Insufficient legal basis for data processing,"The AEPD's decision reveals that the high school unlawfully published health data and other information of more than 2000 teachers in the teacher rankings published on the Institute's website. This publication was made in violation of the principles of lawfulness, fairness, transparency and data minimization.",https://www.garanteprivacy.it/web/guest/home/docweb/-/docweb-display/docweb/9283014
SPAIN,Spanish Data Protection Authority (aepd),3/6/20,Yes,3200,Retailer,"Art. 13 GDPR, Art. 14 GDPR",Insufficient fulfilment of information obligations,Insufficient declaration of video surveillance.,https://www.aepd.es/es/documento/ps-00360-2019.pdf
ITALY,Italian Data Protection Authority (Garante),3/6/20,Yes,4000,Liceo Artistico Statale di Napoli,"Art. 5 GDPR, Art. 6 GDPR, Art. 9 GDPR",Insufficient legal basis for data processing,"The AEPD's decision reveals that the high school unlawfully published health data and other information in the teacher rankings published on the Institute's website. This publication was made in violation of the principles of lawfulness, fairness, transparency and data minimization.",https://www.garanteprivacy.it/web/guest/home/docweb/-/docweb-display/docweb/9283029
ITALY,Italian Data Protection Authority (Garante),3/5/20,Yes,3000,San Giorgio Jonico,"Art. 5 GDPR, Art. 6 GDPR, Art. 17 GDPR",Insufficient legal basis for data processing,Publication of a citizen's personal data on a website and failure to comply with requests for deletion.,https://www.garanteprivacy.it/web/guest/home/docweb/-/docweb-display/docweb/9361186
SPAIN,Spanish Data Protection Authority (aepd),3/4/20,Yes,60000,"Vodafone España, S.A.U.","Art. 5 GDPR, Art. 6 GDPR",Insufficient legal basis for data processing,"According to the AEPD, the data subject has received several SMS from a separate operator indicating the activation of a new contract. The reason for this was that an employee of Vodafone España activated a contract with a third operator on behalf of the data subject. Vodafone could not demonstrate consent or sufficient legitimate interests for this processing of personal data.",https://www.aepd.es/es/documento/ps-00429-2019.pdf
POLAND,Polish National Personal Data Protection Office (UODO),3/4/20,Yes,4600,School in Gdansk (Danzig) (fine imposed against town of Gdansk),"Art. 5 GDPR, Art. 9 GDPR",Insufficient legal basis for data processing,"A school in Gdansk used biometric fingerprint scanners to authenticate students for the payment process in the school canteen. Although the parents had given their written consent to such data processing, the data protection authority considered the processing of the student data to be unlawful, as the consent to data processing was not given voluntarily.",https://uodo.gov.pl/decyzje/ZSZZS.440.768.2018
HUNGARY,Hungarian National Authority for Data Protection and the Freedom of Information (NAIH),3/4/20,Yes,290,Representative of a local government,"Art. 5 GDPR, Art. 6 GDPR, Art. 12 GDPR, Art. 15 GDPR, Art. 17 GDPR",Insufficient legal basis for data processing,"A local representative took a photo of the director of a company fully owned by the local government depicting the director allegedly tearing off an election poster of the opposition in the company of his child. The local representative uploaded the photo to his Facebook page. The child’s image was blurred, yet it was hinted in the post that she was the daughter of the director. The director told the local representative at the scene that he does not consent to the taking of the photo. NAIH determined that the act of the director was not public information and the photo does not prove that the director torn off an election poster. NAIH also underpinned that only the name of the director of the company fully owned by the local government was public information.",https://www.naih.hu/files/NAIH-2020-32-4-hatarozat.pdf
SPAIN,Spanish Data Protection Authority (aepd),3/3/20,Yes,1800,Solo Embrague,Art. 13 GDPR,Insufficient fulfilment of information obligations,The corporate website did not present a privacy policy or a cookie banner on its main page.,https://www.aepd.es/es/documento/ps-00469-2019.pdf
THE NETHERLANDS,Dutch Supervisory Authority for Data Protection (AP),3/3/20,Yes,525000,Royal Dutch Tennis Association ('KNLTB'),"Art. 5 GDPR, Art. 6 GDPR",Insufficient legal basis for data processing,"The Dutch Data Protection Authority has fined the Royal Dutch Tennis Association ('KNLTB') with EUR 525,000 for selling the personal data of more than 350,000 of its members to sponsors who had contacted some of the members by mail and telephone for direct marketing purposes. It was found that the KNLTB sold personal data such as name, gender and address to third parties without obtaining the consent of the data subjects. The data protection authority also rejected the existence of a legitimate interest for the sale of the data and therefore decided that there was no legal basis for the transfer of the personal data to the sponsors.",https://autoriteitpersoonsgegevens.nl/sites/default/files/atoms/files/boetebesluit_knltb.pdf
SPAIN,Spanish Data Protection Authority (aepd),3/3/20,Yes,24000,"Vodafone España, S.A.U.","Art. 5 GDPR, Art. 6 GDPR",Insufficient legal basis for data processing,"According to the AEPD, the company sent two SMS to an clients mobile number informing about a rate change in its contract and confirming the purchase of a new mobile phone, resulting in the processing of personal data without the data subjects consent or other legitimate interests of the company.",https://www.aepd.es/es/documento/ps-00426-2019.pdf
SPAIN,Spanish Data Protection Authority (aepd),3/3/20,Yes,40000,"Vodafone España, S.A.U.","Art. 5 GDPR, Art. 6 GDPR",Insufficient legal basis for data processing,"According to the AEPD, the company sent an SMS to an clients mobile number confirming that a telephone contract with that number had been signed even though the client was not a Vodafone client, resulting in the processing of personal data without the data subjects consent or other legitimate interests of the company.",https://www.aepd.es/es/documento/ps-00421-2019.pdf
SPAIN,Spanish Data Protection Authority (aepd),3/3/20,Yes,42000,"Vodafone España, S.A.U.","Art. 5 (1) f) GDPR, Art. 32 GDPR",Insufficient technical and organisational measures to ensure information security,"According to the AEPD, the company had not been able to demonstrate adequate measures to ensure information security, leading to unauthorized access to personal data of a client.",https://www.aepd.es/es/documento/ps-00474-2019.pdf
SPAIN,Spanish Data Protection Authority (aepd),2/28/20,Yes,3600,AEMA Hispánica,Art. 5 (1) f) GDPR,Non-compliance with general data processing principles,The company had sent the payroll of an employee to another employee and therefore disclosed personal data to an unauthorised party.,https://www.aepd.es/es/documento/ps-00455-2019.pdf
SPAIN,Spanish Data Protection Authority (aepd),2/28/20,Yes,48000,"Vodafone ONO, S.A.U.",Art. 32 GDPR,Insufficient technical and organisational measures to ensure information security,"The decision was taken due to several deficiencies in information security. For example, two people were given the same security access key.",https://www.aepd.es/es/documento/ps-00212-2019.pdf
NORWAY,Norwegian Supervisory Authority (Datatilsynet),2/28/20,Yes,36800,Coop Finnmark SA,"Art. 5 GDPR, Art. 6 GDPR",Insufficient legal basis for data processing,The company had distributed video surveillance footage of children under 16 who had allegedly stolen from a store. There was no sufficient legal basis for this data processing.,https://www.datatilsynet.no/contentassets/8dbf5b4b2a33471aacf375b1f0032347/varsel-om-overtredelsesgebyr.pdf
SPAIN,Spanish Data Protection Authority (aepd),2/27/20,Yes,120000,"Vodafone España, S.A.U.","Art. 5 GDPR, Art. 6 GDPR",Insufficient legal basis for data processing,"Vodafone España was unable to prove to the data protection authority that the data subject had given his consent to the processing of his personal data for the provision of a telephone contract. Furthermore, the decision of the data protection authority emphasises that Vodafone España also unlawfully disclosed the personal data of the data subject to various credit agencies.",https://www.aepd.es/es/documento/ps-00235-2019.pdf
NORWAY,Norwegian Supervisory Authority (Datatilsynet),2/26/20,Yes,73600,Rælingen Municipality,"Art. 5 (1) f) GDPR, Art. 32 GDPR",Insufficient technical and organisational measures to ensure information security,"Health information on 15 children with physical and mental disabilities was processed in the Showbie digital learning platform, for the transfer of health-related personal information between schools and their homes. Datatilsynet found that no necessary risk assessments, privacy impact assessments or tests had been carried out before using the application and that a lack of security when logging into the application allowed access to the information of other students in the group.",https://www.datatilsynet.no/contentassets/bc26a2a8b78b4b30b4b060a4cac80d90/varsel-ralingen.pdf
SPAIN,Spanish Data Protection Authority (aepd),2/25/20,Yes,6000,Casa Gracio Operation,Art. 5 (1) c) GDPR,Non-compliance with general data processing principles,The company used CCTV cameras in the premises of a hotel which also captured the public roads outside the hotel resulting in a violation of the so called principle of data minimisation.,https://www.aepd.es/es/documento/ps-00369-2019.pdf
SPAIN,Spanish Data Protection Authority (aepd),2/25/20,Yes,48000,HM Hospitales,"Art. 5 GDPR, Art. 6 GDPR",Insufficient legal basis for data processing,"The data subject stated that at the time of his admission to hospital he had to fill in a form containing a checkbox indicating that, if he did not tick it, he agreed to the transfer of his data to third parties. This form, provided by HM, was not compatible with the GDPR, since consent was to be obtained through the inactivity of the data subject.",https://www.aepd.es/es/documento/ps-00187-2019.pdf
GREECE,Hellenic Data Protection Authority (HDPA),2/21/20,Yes,5000,Public Power Corporation S.A.,Art. 15 GDPR,Insufficient fulfilment of data subjects rights,The Decision clarified that data subjects have a right of access to the processing of their personal data and that they must also be provided with a copy of the personal data processed. No reasons need to be given for the request.,"http://www.dpa.gr/APDPXPortlets/htdocs/documentDisplay.jsp?docid=158,220,63,69,45,69,224,53"
BULGARIA,Data Protection Commision of Bulgaria (KZLD),2/20/20,Yes,2560,T.K. EOOD,"Art. 25 (1) GDPR, Art. 32 GDPR",Insufficient technical and organisational measures to ensure information security,"The fine of ca. EUR 2,557 was imposed on T.K. EOOD for unlawful processing of personal data of data subject I.S. by failure to adopt technical and organizational measures to ensure the information security. T.K. EOOD processed the personal data of I.S. unlawfully nine times in duration of five months. The breaches caused damages to the data subject.",http://www.cpdp.bg/download.php?part=rubric_element&aid=4563
BULGARIA,Data Protection Commision of Bulgaria (KZLD),2/20/20,Yes,2560,L.E. EOOD,"Art. 25 (1) GDPR, Art. 32 GDPR, Art. 6 GDPR",Insufficient technical and organisational measures to ensure information security,"The fine of ca EUR 2,557 was imposed on L.E. EOOD for unlawful processing of personal data of data subject I.S. without the knowing and the consent of the data subject and also without a valid contractual relationship between L.E. EOOD and I.S. The enterprise processed the personal data of I.S. unlawfully seven times in duration of 3 months by failure to adopt technical and organizational measures to ensure the information security. In addition to the fine, the Commission for Personal Data Protection (“KZLD”) instructed L.E. EOOD to do regular inspections of its data processing activities, to do risk analysis regarding customers and employees and to conduct periodic trainings of the employees. The KZLD also ordered L.E. EOOD to archive and keep the documents containing the personal data only for limited purposes and the timeframe as required by law.",http://www.cpdp.bg/download.php?part=rubric_element&aid=4563
SPAIN,Spanish Data Protection Authority (aepd),2/18/20,Yes,1500,"Mymoviles Europa 2000, S.L.",Art. 13 GDPR,Insufficient fulfilment of information obligations,The AEPD found that the company did not publish a privacy statement on its website and that its legal notice did not sufficiently identify itself.,https://www.aepd.es/es/documento/ps-00423-2019.pdf
SPAIN,Spanish Data Protection Authority (aepd),2/14/20,Yes,3000,Colegio Arenales Carabanchel (School),Art. 6 GDPR,Insufficient legal basis for data processing,"The decision of the data protection authority states that the school transferred pictures (and therefore personal data) to third parties, who published them without legal basis.",https://www.aepd.es/es/documento/ps-00466-2019.pdf
SPAIN,Spanish Data Protection Authority (aepd),2/14/20,Yes,30000,Xfera Moviles S.A.,"Art. 5 (1) f) GDPR, Art. 32 GDPR",Insufficient technical and organisational measures to ensure information security,"The AEPD found that a third party had access to the name, telephone number and address of another customer.",https://www.aepd.es/es/documento/ps-00385-2019.pdf
SPAIN,Spanish Data Protection Authority (aepd),2/14/20,Yes,42000,"Vodafone España, S.A.U.","Art. 5 (1) f) GDPR, Art. 32 GDPR",Insufficient technical and organisational measures to ensure information security,The complainant had access to third party data in his personal Vodafone profile.,https://www.aepd.es/es/documento/ps-00471-2019.pdf
SPAIN,Spanish Data Protection Authority (aepd),2/14/20,Yes,80000,Iberdrola Clientes,Art. 6 GDPR,Insufficient legal basis for data processing,"Iberdola Clientes, an electricity company, terminated the data subject's contract without its consent, concluded three new contracts with the data subject, processed his personal data unlawfully and transferred the plaintiff's personal data to a third party without legal basis. In addition to this fine the AEPD also imposed another fine in the amount of EUR 50.000 under the old Spanish Data Protection Law.",https://www.aepd.es/es/documento/ps-00181-2019.pdf
SPAIN,Spanish Data Protection Authority (aepd),2/14/20,Yes,2500,"Grupo Valsor Y Losan, S.L.",Art. 5 (1) f) GDPR,Insufficient technical and organisational measures to ensure information security,The controller had disclosed personal data to a third party in a property purchase agreement (breach of principles of integrity and confidentiality of personal data),https://www.aepd.es/es/documento/ps-00298-2019.pdf
